id,article_content,author,source,category,date_of_publication
600,"Falava que ia matá-lo, diz fiel sobre rapaz que atacou pastor com faca em culto transmitido ao vivo. Diácono conseguiu segurar e derrubar agressor. Caso aconteceu em igreja de Tatuí (SP). .  O morador de Tatuí (SP) que ajudou a imobilizar o rapaz de 26 anos, que tentou esfaquear um pastor durante um culto que era transmitido ao vivo pelo Facebook , diz que o homem estava convicto do que iria fazer. Elias Pires de Miranda, que é diácono da igreja, falou que após intervir na ação, conseguiu acalmar o homem. ""Quando eu consegui segurar ele, ele dizia: ‘Eu vou matar o pastor’. Levamos ele para fora, que continuou dizendo que ia o matar. Eu tentava acalmá-lo dizendo que Deus não se agrada daquilo até que ele parou e a polícia chegou"", diz. O caso aconteceu no domingo (5) na igreja ""O Brasil para Cristo"", em Tatuí. A transmissão ao vivo do culto na página da igreja no Facebook mostrou o momento em que o pastor quase foi esfaqueado (veja abaixo). O pastor Gétero Augusto de Campos, que foi atacado, contou ao G1 que ficou com medo de morrer quando viu o rapaz com a faca indo em sua direção. Nas imagens é possível ver o jovem subindo a escada lateral do púlpito e puxando uma faca da cintura. Com os gritos dos fiéis, o pastor se vira a tempo de ver o homem investindo contra ele com a faca em mãos. Ele se esquiva e começa a andar para trás, enquanto repete várias vezes: ""O sangue de Jesus tem poder"". Vários homens sobem no palco e um deles agarra o agressor pela cintura e o derruba no chão. De acordo com Elias, ninguém da igreja desconfiou do jovem, já que ele frequentava o local com a mãe. “Ele vinha na igreja. Cheguei a ver ele umas três vezes. Então, nós não achamos estranho porque ele costuma vir com a mãe que é cega, por isso não desconfiamos. Nesse dia não sei o que deu nele. Para mim não foi um susto, pois vemos tanta coisa acontecendo por ai, que ficamos sempre atentos."" Ainda segundo o diácono, a única coisa que pensou foi em salvar o pastor. Quando eu vi o homem lá em cima eu apenas pensei no pastor e sai correndo. Consegui segurar as mãos dele e imobilizei”, ressaltou. A transmissão ao vivo do culto no Facebook mostrou o momento em que um pastor quase foi esfaqueado por um homem. Alguns internautas deixaram comentários sobre o incidente no vídeo. ""Deus é fiel e livra os teus servos do mal. Deus no controle"", escreveu um. ""Esse culto ficou marcado, mas a glória de Deus prevaleceu"", disse outro. De acordo com a Polícia Militar, uma equipe foi acionada e o rapaz foi levado para a delegacia. Ele alegou à polícia que estava no culto e que não gostou do louvor. Ressaltou, porém, que não tem nada contra o pastor e que frequenta a igreja há 10 anos. Um termo circunstanciado de lesão corporal tentada foi assinado, e o jovem foi liberado em seguida. O caso será investigado pela Polícia Civil. Segundo o pastor Gétero, o jovem alegou que ficou irritado ao ouvir uma música na igreja e que, por isso, resolveu atacá-lo para ""testar se Deus era Deus"". “Depois que os membros da igreja conseguiram detê-lo e a polícia o levou para a delegacia, ele disse que ouviu o louvor que canta que ‘se Deus fizer é Deus e se não fizer, continua sendo Deus’ e ficou irritado porque a mãe dele continua cega. Então, ele alegou que resolveu me esfaquear para ver se Deus era Deus mesmo e quis testar. A ação dele assustou todo mundo. Foi só gritaria. Pânico total”, afirma. O pastor ainda conta que conhece o jovem há anos, pois ele mora ao lado da igreja. Ainda segundo Gétero, após o ocorrido, o culto continuou normalmente. “Depois do que aconteceu, preguei a palavra que, por coincidência, era sobre como a igreja deve ficar preparada para qualquer situação, já que vivemos em um mundo em que tudo pode aconteceu”, finaliza.",Por G1 Itapetininga e Região,https://g1.globo.com/sao-paulo/itapetininga-regiao/noticia/dizia-que-ia-mata-lo-conta-diacono-que-segurou-rapaz-que-quase-esfaqueou-pastor-em-culto.ghtml,tv_celebridades,10/11/2017 08h26
2631,"Mercosul suspende direitos políticos da Venezuela por ruptura da ordem democrática. A decisão foi aprovada por unanimidade e anunciada neste sábado (5), após uma reunião em São Paulo..  Suspensa do exercício de membro do Mercosul desde dezembro por descumprir obrigações com as quais se comprometeu em 2012, a Venezuela agora recebeu uma nova sanção por ""ruptura da ordem democrática"". A decisão foi aprovada por unanimidade e anunciada neste sábado (5), após uma reunião em São Paulo, da qual participaram representantes do Brasil, da Argentina, do Uruguai e do Paraguai, os quatro países fundadores do bloco. Com a medida, a reintegração da Venezuela fica mais complicada. Mesmo que passe a cumprir todos os outros compromissos fundamentais previstos no protocolo de sua adesão ao bloco, o Mercosul só voltará a incorporar a Venezuela depois de ""restaurada a ordem democrática"", afirmou o documento da reunião. ""Desde que o governo venezuelano enveredou por um caminho que o levou a se afastar cada vez mais da democracia, nossos países, em diversas instâncias, manifestaram preocupação"", afirmou o chanceler brasileiro Aloysio Nunes. A decisão foi baseada na cláusula do Protocolo de Ushuaia, assinado em 1996, que afirma que os países do bloco devem respeitar a democracia. A medida coloca o governo de Nicolás Maduro em uma situação ainda mais isolada em relação aos seus pares latino-americanos. O comunicado não prevê sanções comerciais, mas cada país pode decidir por retaliações próprias conforme seus acordos bilaterais. Segundo Nunes, o Brasil não suspenderá a exportação de alimentos para a Venezuela, porque agravaria a crise humanitária. O protocolo de Ushuaia não prevê a expulsão de um membro do Mercosul. Em pronunciamento à Rádio Rebelde da Argentina, Maduro afirmou que ""nunca vão tirar a Venezuela do Mercosul"". ""Somos Mercosul de alma, coração e vida. Algumas oligarquias golpistas, como a do Brasil, ou miseráveis, como a que governa a Argentina, poderão tentar mil vezes, mas sempre estaremos aí"", disse. Ele também acusou o presidente argentino Mauricio Macri de estimular um bloqueio comercial e político contra seu país. ""O Macri não só destrói o povo e agride a classe trabalhadora argentina (...), mas também é a ponta de lança da agressão e agora o porta-bandeira da busca por um bloqueio econômico, financeiro, comercial e político como o que fizeram a Cuba nos anos 60"", afirmou. Ao assumir a presidência temporário do bloco, em julho deste ano, o presidente Michel Temer afirmou que os países que integram o Mercosul reconheceram uma “ruptura” democrática na Venezuela . Daquela reunião saiu um comunicado em que os países pediam o restabelecimento da ordem institucional e que o governo de Maduro e a oposição iniciassem um diálogo para um ""arranjo político crível"". O governo brasileiro iniciou então a fase de consultas, em que a Venezuela foi chamada a se pronunciar sobre a decisão do Mercosul. O presidente venezuelano foi consultado sobre a possibilidade de abrir diálogo com a oposição em uma reunião no Brasil, com a intermediação do Mercosul, mas recusou. A crise venezuelana entrou em uma nova etapa com a instalação nesta sexta-feira da Assembleia Constituinte que vai reescrever a Constituição . O governo afirma que trará paz ao país, mas a oposição, que não lançou candidatos, denuncia que ela foi convocada para perpetuar Maduro no poder. A posse dos constituintes, todos chavistas, ocorre após quatro meses de protestos opositores, que já deixaram mais de 100 mortos. Durante os protestos, multiplicaram-se as denúncias de violações dos direitos humanos por parte das forças de ordem, acusadas pelos opositores de exercer uma ""forte repressão"". O confronto entre poderes é constante desde janeiro de 2016, quando a coalizão Mesa da Unidade Democrática (MUD) assumiu o controle do Legislativo após 17 anos de hegemonia chavista. A Venezuela tem sua economia devastada desde 2014 por conta da queda dos preços do petróleo. O país, que obtém 96% de suas divisas com a exportação da commodity, encadeia três anos de forte contração (9,7% em 2016, segundo a Cepal). A Venezuela reduziu drasticamente as importações, gerando uma severa escassez de alimentos e medicamentos. O país também tem a inflação mais alta do mundo, que o FMI projeta em 720% para 2017. Maduro atribui o colapso a uma ""guerra econômica"" de empresários de direita pra derrubá-lo, apoiada pela oposição e pelos Estados Unidos. Governos de vários países, entre os quais o do Brasil, condenaram a eleição para a Constituinte. Em nota, o Itamaraty pediu a suspensão da Constituinte. O Ministério de Relações Exteriores brasileiro afirmou que o governo venezuelano não respeitou o desejo de seu povo e lamentou que os pedidos da comunidade internacional para que a eleição fosse cancelada não tenham sido atendidos. As eleições da Constituinte foram salpicadas por denúncias da Smartmatic - empresa que deu o suporte tecnológico ao pleito - de que o dado de participação foi inflado pelo Conselho Nacional Eleitoral (CNE) em um milhão de eleitores (o organismo reportou oito milhões). A suposta fraude é investigada pelo Ministério Público. A Venezuela foi admitida no Mercosul em 2012, em uma manobra dos governos de Dilma Rousseff e Cristina Kirchner, da Argentina. Depois da suspensão temporária do Paraguai, causada pelo impeachment do ex-presidente paraguaio Fernando Lugo, Brasil e Argentina convenceram o Uruguai a acelerar a admissão da Venezuela, que só dependia da aprovação do Congresso paraguaio. O país entrou oficialmente no bloco em dezembro do mesmo ano e, depois de ser readmitido, o Congresso do Paraguai, em uma negociação tocada pelo presidente Horácio Cartes, concordou em aprovar sua admissão para regularizar a situação. A Venezuela, no entanto, descumpriu a maior parte dos prazos de adesão ao bloco, especialmente nas questões econômicas. O problema foi a solução encontrada por Brasil, Paraguai e Argentina, para evitar que o país assumisse a presidência temporária do bloco em julho deste ano, como deveria ter acontecido, e abriu caminho para a suspensão. Em frente à prefeitura, um grupo de cerca de 20 venezuelanos se reuniu para protestar contra o governo de Maduro e para saudar a decisão do Mercosul em suspender o país do bloco. Geraldo Garcia, venezuelano que vive no Brasil há 15 anos, veio ao protesto pedir a saída do país. ""Vim exigir a saída da Venezuela do bloco, pela sistemática violação dos direitos humanos."" Uma das mulheres presentes no protesto carregava uma cruz com uma lista de nomes. ""Essa cruz representa todas as pessoas caídas durante os mais de 120 dias de protestos. As pessoas que estão sendo assassinadas por estarem contra essa ditadura que temos na Venezuela"", afirmou Irene Mendonza, que classifica o governo de Maduro como ""completamente ilegítimo"". Também a venezuelana Blanca Montilla, que mora há 10 anos no Brasil, foi ao protesto motivada pela ação mais contundente dos países da região. ""Essa sanção vem como uma posição bastante firme no reconhecimento de que nosso país não vive uma democracia"". Os irmãos e a mãe de Blanca seguem na Venezuela, em Caracas e Valencia. ""A coisa mais terrível que existe é a situação lá hoje em dia. Há muita dificuldade em encontrar comida"", diz.","Por Gabriela Bazzo e Marina Franco, G1",https://g1.globo.com/mundo/noticia/mercosul-suspende-direitos-politicos-da-venezuela-por-ruptura-da-ordem-democratica.ghtml,tv_celebridades,05/08/2017 12h39
1817,"Wyllys diz que está sendo punido por ser homossexual. Não Jean, você está sendo punido porque não teve decoro.  Ricardo Izar (PP-SP) e Jean Wyllys (PSOL-RJ) tiveram um bate-boca feio no início da noite de hoje (14) no plenário da Câmara.  (Karen Barbosa  Jornalista e homossexual com orgulho  para o Diário do Brasil) Acusado de quebra de decoro parlamentar por ter cuspido em Jair Bolsonaro, Jean Wyllys é alvo de um parecer do deputado Izar que pede a suspensão de seu mandato por quatro meses. Jean disse, durante a discussão de hoje, que está sendo punido por ser homossexual. Não caro Jean! Vossa excelência está sendo punido porque não teve decoro, porque é porco e porque usa o homossexualismo para se promover como figura pública. Enfim, está sendo punido porque é um ser humano desprezível e um péssimo parlamentar para o Brasil. Pare de fazer papel de vítima caro parlamentar. O povo não é bobo!",,https://www.diariodobrasil.org/wyllys-diz-que-esta-sendo-punido-por-ser-homossexual-nao-jean-voce-esta-sendo-punido-porque-e-porco-e-nao-teve-decoro/,politica,14/12/2016
1715,"Secretário de Segurança Pública de SP vai afastar policial que emitiu ""alerta de ataque"" do PCC.  Mágino Alves , Secretário de Segurança Pública de São Paulo, disse que irá afastar o investigador de polícia que emitiu um alerta sobre um possível ataque do PCC no estado de São Paulo.  No último dia 13, a delegacia de Araraquara, interior de SP, emitiu um alerta para todos os policiais do estado sobre um possível ataque do PCC no dia 17 de janeiro. Parte do texto dizia: ""Para conhecimento e providências, chegou neste Centro de Inteligência que membros do PCC dão conta de que armas de fogo foram distribuídas aos integrantes da facção para possíveis ataques. Há informações de que no próximo dia 17 o comando da organização criminosa ordenará vários ataques em locais distintos, onde cada um terá que agir"". O Secretário confirmou que o documento é verdadeiro, porém as informações são equivocadas. ""Ele será afastado por falta de ""aptidão para o cargo"" e ocupará outra função na Polícia Civil"" disse Mágino. Alves destacou que não há ""nenhum fato que justifique o temor provocado por este alerta"" (as informações são do Estado e da Veja )",,https://www.diariodobrasil.org/secretario-de-seguranca-publica-de-sp-vai-afastar-policial-que-emitiu-alerta-de-ataque-do-pcc/,sociedade_cotidiano,16/01/2017
2425,"Filme retrata a trágica aventura de Gabriel Buchmann. Gabriel e a Montanha venceu o prêmio da crítica na 41.a Mostra.  Havia urgência no longa anterior de Fellipe Barbosa. Casa Grande filia-se a uma tendência do cinema brasileiro que inclui O Som ao Redor, de Kleber Mendonça Filho, e Que Horas Ela Volta?, de Anna Muylaert. Um garoto em plena erupção dos hormônios e numa casa - numa família - que está implodindo, até mesmo economicamente. Barbosa gosta de acreditar que Gabriel e a Montanha , seu novo longa, começa onde o outro termina. O que ocorreu com aquele garoto que talvez ainda não saiba o que quer da vida, mas com certeza sabe o que não quer, e é aquela vida protegida no casulo da casa grande? O garoto foi para a África. Gabriel foi premiado em Cannes, em maio, na mostra Semana da Crítica. Teve ótimas críticas na França - torrentes de elogios nos jornais Libération e Le Monde, quatro páginas (quatro!) na prestigiada revista Cahiers du Cinéma, incluindo duas de entrevista com o diretor. E na quarta, 1.o, recebeu o prêmio da crítica como melhor filme brasileiro da Mostra. E isso sem contar os demais festivais de que participou - Jerusalém, Munique, Odessa, Sarajevo, etc. E, claro, o Festival do Rio e a já citada Mostra de São Paulo. +++ Filme brasileiro Gabriel e a Montanha é selecionado para a Semana da Crítica de Cannes O Rio teve um sabor especial. Fellipe Barbosa sempre soube que havia um componente muito grande de risco em Gabriel e a Montanha. O filme inspira-se numa história real, e de alguém próximo a ele. Seu amigo - brodaço! - Gabriel Buchmann. Barbosa fez o filme cheio de entusiasmo e esperança, características do próprio Gabriel, mas também, admite, com temor. E se não funcionasse? Estaria traindo o amigo? Seria sua segunda morte? A sessão do filme no Festival do Rio foi catártica. A mãe de Gabriel já havia visto o filme em Cannes (leia abaixo). No Rio, foram todos os amigos. Reencontraram Gabriel na tela, na interpretação de João Pedro Zappa. “Choravam abraçados comigo. Foi muito emocionante”, diz o diretor. Fellipe viajou muito. Estudou nos EUA, foi dar um curso de cinema - roteiro - na África. “Amei Uganda, queria ficar. Quando Gabriel foi para a África para estudar a pobreza, que seria o tema de seu doutorado em políticas públicas, os amigos acharam loucura, mas eu entendi aquilo. Estávamos um tanto afastados, cada um vivendo sua vida, quando recebi um e-mail de Uganda. Percebi nele o mesmo desejo de ficar que tive. Quando desapareceu, surgiu o rumor de que teria sido assassinado, mas eu achava que não. Apesar das violências tribais, é um povo muito hospitaleiro. Gabriel morreu de hipotermia quando tentava escalar o monte Mulanje, no Malauí. Quando resolvi fazer o filme, voltei duas vezes para pesquisar, em 2011 e 15. Fui a quatro países, comecei a procurar os lugares, as pessoas que cruzaram seu caminho. Algumas histórias foram incríveis. O guia do Gabriel tinha virado mendigo em Zanzibar. E o encontrei por acaso.” +++ Filme refaz os passos do pesquisador Gabriel Buchmann O que Fellipe apreendeu dessa história, e da sua obsessão para fazer o filme - que consumiu muito tempo -, é que, por mais que exista essa coisa, seja fatalidade ou destino, isso não elimina nossas escolhas. “A subida da montanha é algo mítico. Dizem que o (JJR) Tolkien teve a inspiração para O Senhor dos Anéis no Mulanji. A montanha tem essa coisa do desafio, da superação. Tive de fazer montanhismo para me preparar, porque, afinal, ia fazer uma equipe subir a montanha comigo. Na França, a crítica viu muito a questão da morte. A passagem. Claro que faz sentido. Toda a vida da gente é uma caminhada para a morte. Mas não queria, pelo Gabriel, que o filme fosse visto só assim. Acho que tem muita vida nele, na forma como o Zappa cria o papel.” E Barbosa confessa suas surpresas. “Achava que nesse mundo tão materialista, tão cínico, o Gabriel idealista da primeira parte ia seduzir as pessoas como personagem. Quando chega a Chris, a namorada, explodem as contradições, e agora eu sei que é a partir daí que as pessoas se envolvem mais.” A outra coisa é que o diretor, que utilizou apenas dois atores, Zappa e Carolina Abras -, o restante do elenco é de não profissionais, recrutados nos países em que filmou, sempre pensou em mostrar o filme para eles, em seu habitat. “Vai ser coisa para 2018, este ano está muito corrido. O único que já viu foi Leonard Siampala, que faz o massai e foi com a gente para Cannes.” Foi a coisa mais linda do mundo. “Havia uma paranoia de segurança no palais. Todo mundo era revistado, sessões foram interrompidas e chegou aquele negro imenso, com seu facão de massai e ele passava majestoso pela seguranças, sem que ninguém o parasse. Da sua comunidade, ele foi o único que saiu para o mundo. E o mundo, para ele, é o tapete vermelho de Cannes. O Gabriel ia adorar isso.” A emoção da mãe, que agora lança um livro Fátima Chaves de Melo Buchmann tem vivido com a emoção à flor da pele. Enquanto conversa pelo telefone com o repórter dá para ver que a voz vai embargando. “Quando Gabriel morreu, eu queria me deitar debaixo da cama, desaparecer, morrer com ele. Mas não seria o que meu filho ia querer. Gabriel tinha muita vida, era um jovem que queria mudar as pessoas, o mundo. Até por ele, tinha de continuar.” A mãe de Gabriel Buchmann lança nesta segunda, 6, no Rio, o livro Gabriel, as Montanhas e o Mundo, em parceria com Alicia Uchôa. O título já diz - o livro é mais abrangente que o filme de Fellipe Barbosa, que estreou na quinta. O simples fato de pluralizar as montanhas e acrescentar o mundo já diz alguma coisa. “Fellipe é um menino muito querido. Quando me disse que queria fazer um filme sobre o Gabriel eu imediatamente confiei nele, pela pessoa que é. Sabia que, se alguém poderia revelar a filosofia de vida do Gabriel, o desejo na alma dele, seria o Fellipe. Gabriel era um sonhador, mas também tinha os pés muito firmes no chão. Gustavo Franco, o autor de Cartas a Um Jovem Economista, faz um texto bonito sobre ele na orelha do livro.” Para tentar mudar o mundo, é preciso entendê-lo. Gabriel Buchmann sempre foi contra a concentração de riqueza, as desigualdades sociais, a pobreza. “Quando resolveu viajar para a África foi para estudar aquela miséria. Sou filha de um jornalista que dizia que a única coisa que nos poderia deixar, a seus filhos, era uma boa educação. Somos uma família de professores, todo mundo tem esse desejo de estudar, e transmitir.” A morte foi uma fatalidade. “Há 30 anos não acontecia isso. Estava um tempo maravilhoso, mas quando Gabriel chegou lá em cima, o tempo mudou no Mulanji. O nevoeiro foi só o começo.” Mesmo apoiando muito a realização, Fátima conta que nunca teve coragem de ler o roteiro - “Chorava demais.” Antes da première em Cannes, passou mal, ficou de cama. Mas estava lá, firme na primeira exibição. Foi duro ver um ator como seu filho, mas ela reconheceu o ‘seu’ Gabriel. Ele está inteiro no livro, que Fátima espera lançar em São Paulo.","Luiz Carlos Merten, O Estado de S.Paulo","http://cultura.estadao.com.br/noticias/cinema,filme-retrata-a-tragica-aventura-de-gabriel-buchmann,70002072162",politica,04 de novembro de 2017
1739,"Ator que deu tiros em hotel em Rio Claro deixa presídio de Tremembé, SP. Ele e a namorada foram presos em flagrante em janeiro deste ano por tentativa de homicídio e porte ilegal de armas, após atirar dentro do quarto e também contra policiais que tentaram contê-los. Ator obteve um habeas corpus..  O ator Thierre Di Castro Garrito, que atirou dentro de um hotel em Rio Claro (SP), deixou a Penitenciária 1 de Tremembé nesta sexta-feira (9). Ele e a namorada foram presos em flagrante no último mês de janeiro por tentativa de homicídio e porte ilegal de armas, após atirar dentro do quarto e também contra policiais que tentaram contê-los. O ator conseguiu um habeas corpus após a defesa sustentar que ele precisava de internação para tratamento psiquiátrico. O tempo e local de internação não foram informados. O processo tramita em segredo de Justiça. O boletim de ocorrência informava que no dia da prisão, Garrito e a namorada estavam alterados pelo uso de drogas. À época, a advogada que o defendia, confirmou que ele era usuário de entorpecentes . Por telefone, o advogado atual de Garrito, Marcelo Diniz, informou que só irá se manifestar ao final do processo. Ele não sustentou a informação da advogada anterior, sobre a dependência química do ator. A namorada de Garrito já responde ao processo em liberdade. Natural de Rio Claro, o ator é conhecido por participações em novelas brasileiras como A Pequena Travessa e Amor e Ódio, além de séries americanas como Chuck, Happily Divorced e Shameless. Ele foi o vencedor do Mister Brasil e foi o primeiro brasileiro a participar do Mister Mundo, em 1996. Segundo a PM, o casal estava hospedado no hotel e pediu para mudar de quarto porque não se sentia seguro. Pouco tempo depois, funcionários ouviram dois disparos. A PM foi acionada e cercou o local. De acordo com o tenente Felipe Fernandes Carvalho, os policiais foram recebidos a tiros e uma das balas atingiu o escudo de um PM. Uma câmera de segurança flagrou os tiros e a chegada da polícia. (veja o vídeo abaixo). Um dos tiros atingiu o escudo de proteção da equipe, mas ninguém ficou ferido.",Por G1 Vale do Paraíba e Região,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/ator-que-deu-tiros-em-hotel-em-rio-claro-deixa-presidio-de-tremembe-sp.ghtml,tv_celebridades,09/03/2018 17h53
103,"Delação da Friboi coloca em risco o casamento de Temer. Além de estar correndo sério risco de sofrer impeachment e ser preso, a delação da Friboi coloca em risco até mesmo o casamento do presidente Temer. Isso é o que afirma Joesley Batista.

Perícias iniciais dão conta que a gravação da conversa entre o presidente Temer e o dono da Friboi foi editada em pelo menos 50 trechos antes de ser entregue a Polícia Federal. Michel Temer tentou usar este fato como instrumento de sua defesa, no enanto, Joesley Batista volta a surpreender o Brasil e diz que os trechos editados poderiam colocar em risco seu casamento e também do presidente Michel Temer. Em pelo menos um dos trechos editados, a conversa entre Joesley Batista e Michel Temer girou sobre mulheres. O dono da JBS retirou essa parte para se proteger  e, não evidentemente, proteger a relação do presidente com Marcela Temer. Dos 50 minutos de gravação, 38 são conhecidos.",,https://afolhabrasil.com.br/politica/delacao-da-friboi-coloca-em-risco-o-casamento-de-temer/,politica,2017-05-22
3454,"A jovem jornalista que escreveu sobre Dilma e Cunha e ganhou 100 mil likes no facebook. .  Priscila Chammas é uma jornalista que escreveu um desabafo nas redes sociais e calou a ""petralhada"" . Abaixo a postagem que já recebeu mais de 100 mil curtidas:",,https://www.diariodobrasil.org/a-jovem-jornalista-que-escreveu-sobre-dilma-e-cunha-e-ganhou-100-mil-likes-no-facebook/,tv_celebridades,04/12/2015
3591,"Depois do sucesso da mandioca,  vem aí a Raiz. Ex-petista quer fundar o 36o partido político do país. .  A deputada federal e ex-prefeita de São Paulo Luiza Erundina (atual PSB) vai comandar no dia 22 de janeiro a reunião de fundação do seu próprio partido,  a Raiz Movimento Cidadanista. Inspirada no Podemos,  da Espanha,  e Syriza,  da Grécia,  novos partidos de cunho socialista que despontaram na Europa nos últimos anos,  o movimento liderado por Erundina já organizou diretórios em 21 Estados e começará sua coleta de assinaturas para conseguir o registro junto ao TSE. Para conseguir o registro e tornar-se a 36a legenda em funcionamento no Brasil,  a Raiz Cidadanista precisa agora reunir 486 mil assinaturas.",,https://www.diariodobrasil.org/depois-do-sucesso-da-mandioca-vem-ai-a-raiz-ex-petista-quer-fundar-o-36o-partido-politico-do-pais23/,politica,14/10/2015
2298,"RIO 2016: Advogado diz que comprou ingressos falsos de ator da Globo. Ator diz que também foi enganado.  Um torcedor disse que o ator Murilo Rosa lhe vendeu 2 ingressos falsos para a final do futebol entre Brasil e Alemanha,  no Maracanã.  O advogado relata que o ator cobrou R$ 1, 5 mil por dois bilhetes para o jogo da final do futebol masculino. O homem e seu filho,  de 12 anos,  foram barrados ao tentar entrar com os ingressos no Maracanã. ""Estávamos na fila do portão B quando fiquei sabendo o ator estava vendendo ingressos. Ele estava com a mulher e queria vender os 2 ingressos por R$ 2 mil. Ofereci R$ 1, 5 mil e ele aceitou. Comprei dele porque ele é um ator famoso e passa credibilidade. Ao usar os ingressos fui barrado e me informaram que era m falsos"" disse o advogado. O ator Murilo Rosa disse ao jornal EXTRA que comprou os ingressos de um desconhecido e não fazia idéia de que as entradas eram falsas. Ele confirmou que realmente vendeu os ingressos para o homem e só se desfez das entradas porque descobriu que os lugares eram em assentos separados,  o que não permitiria que ele ficasse junto de sua esposa. ""Comprei esses ingressos por R$ 2 mil no Parque Olímpico de um homem bem apessoado. Fiquei um pouco constrangido de vender,  mas tinha muita gente querendo ingresso e decidir vender. Jamais imaginei que os ingressos eram falsos"" relatou Murilo. Foi aberto inquérito na 18a DP e o caso será investigado como estelionato. (A informação é do jornal carioca EXTRA )",,https://www.diariodobrasil.org/rio-2016-advogado-diz-que-comprou-ingressos-falsos-de-ator-da-globo-ator-diz-que-tambem-foi-enganado/,politica,21/08/2016
