unit_id,article_title,article_content,source,date
1962495661,21 Civilians Killed in US-Led Coalition Attacks in Northern Syria,Mon Jul 18 2016 21 Civilians Killed in US-Led Coalition Attacks in Northern Syria. Airstrikes by US-led coalition fighter jets have killed at least 21 civilians in northern Syrian territories held by the Daesh (ISIS ISIL) Takfiri terrorists a monitoring group says. The so-called Syrian Observatory for Human Rights said Monday that at least 15 people were killed as the coalition carried out raids in a northern district of Manbij city. The UK-based group which advocates the Syrian opposition said six more people lost their lives in a village near Manbij after similar attacks by coalition fighter jets. The so-called multinational task force against ISIS started its controversial mission in Iraq in late 2014 after ISIS seized control over territories west and north of the country. The air campaign was later expanded to cover areas in northern Syria despite criticism from the Syrian government that the attacks violate the sovereignty of the Arab country. The United States claims the attacks are carried out to assist Syrian Kurds and Arabs fighting against ISIS in areas along the Turkish border in the province of Aleppo. However the attacks have led to numerous deaths among the civilians and Syrian military forces. The coalition attacks on Manbij intensified in late June after Kurds and Arabs from the Syrian Democratic Forces (SDF) alliance failed in their drive to fully push back militants from the city. The SDF has attempted several times to advance from the western neighborhoods it has captured into the road south of Manbij which connects the strategic city to Raqqa the de facto capital of ISIS in Syria. Thousands have fled the fierce fighting in Manbij while tens of thousands more remain trapped in the city. The US and allies use the Incirlik air base in southern Turkey to bomb purported ISIS positions in northern Syria and Iraq Press TV reported. SSH 11,alalam,7/18/16
1924058213,Regime airstrikes kill 61 civilians in Aleppos opposition-held Atareb,"Published November 13 2017 A Syrian war monitoring group on Tuesday raised the death toll from airstrikes on a market in a northern opposition-held town in Syria the previous day to 61 as rescue workers continued searching for victims buried under the rubble. According to the Britain-based Syrian Observatory for Human Rights there were at least three airstrikes on the market in the town of Atareb. Those killed included six women five children and three police officers according to the monitoring group. The Observatorys director Rami Abdurrahman says the rest were male civilians. Atareb and the countryside around it remain outside the control of the Assad regime in Damascus. Regime forces retook the nearby city of Aleppo Syrias largest following a ferocious assault on the opposition-held neighborhoods there in 2015. The town population has swelled with the arrival of Syrians fleeing from the fighting elsewhere in the countrys north. Atarabs market drew not just the townspeople but also shoppers from the countryside and nearby villages. ""You can see the body fragments in the rubble"" said Yasser Hmeish a medical technician at the scene. ""This morning I saw civilians and rescue workers trying to lift the cement chunks to find the missing."" ""There were restaurants mobile phone shops butchers it was a market in the full sense of the word"" Hmeish added. ""Its been completely destroyed."" The airstrikes ripped through the market crushed buildings and damaged an adjacent traffic police station. Survivors found limbs in the rubble and corpses with their heads crushed by the pressure of the blasts. The Syrian Civil Defense search-and-rescue volunteers popularly known as the White Helmets told The Associated Press they gave up hope of finding more survivors after dawn on Tuesday but were continuing recovery operations. The Observatory said it couldnt determine whether Russia or the Syrian government was behind the attack. The opposition Syrian National Coalition accused Russia Bashar Assads chief military backer. The attack was the latest breach in a ""de-escalation"" agreement mediated by Russia that sought to protect the civilian population but that has largely proven unenforceable. Syrias civil war now in its seventh year has killed at least 400000 people and displaced 11 million half of Syrias pre-war population.",dailysabah,11/17/17
1965495369,Kurdish PYD Armed Wing Kills 17 Turkish Soldiers in North Syria,28.04.2017) Get short URL 54015 According to media reports Kurdish Democratic Union Partys military wing dubbed Peoples Protection Units killed 17 Turkish servicemen and left three others wounded Kurdish media reported citing a source in the YPG. MOSCOW (Sputnik) The Kurdish Democratic Union Partys (PYD) military wing dubbed Peoples Protection Units (YPG) killed 17 Turkish servicemen and left three others wounded Kurdish media reported citing a source in the YPG. The YPG members also have destroyed an armored personnel carrier of the Turkish army in northern Syrias Afrin located near the border with Turkey Firat news agency said Thursday. Tensions between Ankara and the Kurdish pro-independence PKK escalated in 2015 after a three-year ceasefire between the two sides collapsed over a series of terror attacks allegedly committed by PKK members prompting Ankara to launch a military operation in the Kurdish-dominated southeastern regions. Never miss a story again sign up to our Telegram channel and well keep you up to speed! ... 4015 Related Turkish Forces Destroy Two Tonnes of Kurdish Militants Explosives State Department Accuses Turkey of Putting US Forces at Risk in Strikes on Kurds Turkeys Attacks on Kurds Show It is Not Happy About Kurdish-Russia-US Contacts Tags servicemen Kurdish Peoples Protection Units (YPG) Kurdish Democratic Union Party (PYD) Turkey Syria Community standardsDiscussion Comment via FacebookComment via Sputnik News,sputnik,4/28/17
1965511195,Several Syrians Killed Injured in Homs Suicide Blasts- Al Manar TV Website Archive,05-05-2016 Several Syrians Killed Injured in Homs Suicide Blasts. Several people were killed and injured in twin terrorist attacks that hit Homs eastern countryside. Several people were killed and injured in twin terrorist attacks that hit Homs eastern countryside. SANA news agency reported the attack quoting Homs Governor Talal al-Barazi as puting the death toll at six and the number of injured at 28. The terrorists blew up a car and a motorcycle in al-Mukhraam al-Fouqani town in the eastern countryside of Homs province the agency said according to Barazi. ,manar,5/5/16
1924058217,Jabhat al-Nusra terrorists execute 40 gunmen their families for attempt to surrender arms,"August 12 2016 Terrorists executed militants and members of their families who tried to lay down arms and leave the city via humanitarian corridors to areas controlled by government troops. Groups constituting Jabhat al-Nusra and Islamic State terrorist organizations (both outlawed in Russia) continue attempts to break down regime of cessation of hostilities in the Syrian provinces of Aleppo and Damascus the Russian center for reconciliation of the warring parties in Syria said in its regular daily news bulletin posted on the Russian defense ministrys website on Friday. Thus according to the bulletin Jabhat al-Nusra terrorists executed 40 gunmen and members of their families for an attempt to surrender arms. ""In Aleppos Qaryat al-Ansari neighborhood Jabhat al-Nusra terrorists executed militants and members of their families who tried to lay down arms and leave the city via humanitarian corridors to areas controlled by government troops. In all 40 people were killed"" the center said.",tass,8/15/16
1924058108,At least 79 civilians killed by Russian and regime air strikes in Syria,"6 Oct 2017 At least 79 civilians were killed in Deir Ezzor over the last 48 hours by air strikes. Activist Ahed Sileybi said Russia and Syrian regime war planes carried out intensive air strikes in Deir Ezzor adding that tens of civilians were injured. Siheybi said the war planes targeted those civilians who were trying to flee Daesh-held areas through one of the humanitarian corridors across Euphrates river near Daesh-held Al Mayadeen city. Russian air strikes had killed at least 14 civilians as they were crossing the Euphrates river the Syrian Observatory for Human Rights (SOHR) said on Friday. ""They were crossing the river on makeshift rafts in a village south of Mayadeen"" SOHR director Rami Abdel Rahman said adding that three children were among those killed overnight. Russia has in recent days intensified its air raids in support of Syrian regime forces battling militants across the country. Source AA Related News Death toll rises to 70 as regime rains down bombs in southern Syria Health agencies warn Idlib offensive could uproot 700000 Syrians Media activists fear for their lives in southwestern Syria Daesh releases purported new audio of Abu Bakr al Baghdadi Category News At least one Palestinian killed during Gaza protests Yemen faces worsening threat of famine UN aid chief Turkey working with Russia on Idlib disarmament zone Erdogan spokesman 10 Trump decisions killing Palestinian statehood A picture is worth a thousand words. Follow us on Instagram. FOLLOW TRTWORLD Dont miss out on the Latest News We wont spam you and we respect your privacy. SUBSCRIBE TRT World on Youtube Subscribe to our Youtube channel for all latest in-depth on the ground reporting from around the world. Subscribe TRT World on Facebook Like Follow Follow Copyright  2018 TRT World. TRT World Watch Live TV Schedule Where to Watch Connect with TRT World iOS Android Youtube Satellite Coverage Partner Hotels Corporate About TRT World Careers Press Releases Documentary Contact Us Legal Terms of Use Privacy Policy Cookie Policy",trt,10/15/17
1965495329,US-Led Airstrikes Against IS Kills 10 Civilians in Syria Syrian Observatory,18.10.2014Get short URL 0 13 The US-led coalitions airstrikes killed 10 civilians in Syria the Syrian Observatory for Human Rights says. MOSCOW October 18 (RIA Novosti) - The Syrian Observatory for Human Rights announced Saturday that at least 10 Syrian civilians among them children were killed by airstrikes in the US-led coalition against Islamic State (IS). According to the observatory the airstrikes targeting oil fields near the Kabiba village killed three people one under the age of 18 in the far north east Hasakah province while seven were killed by strikes targeting a gas station in a city in the eastern part of Syria Der-Ezzor. The Islamic State is a Sunni jihadi group that has been fighting the Syrian government since 2012. In June 2014 it launched an offensive in Iraq seizing vast areas in both countries and announcing the establishment of an Islamic caliphate on the territories under its control. In September US President Barack Obama announced his decision to form an international anti-IS coalition. Washington extended its airstrikes against the militants into Syria while continuing airstrikes against the groups targets in Iraq. Obama said the United States would arm and equip Kurds Iraqis and Syrias moderate opposition in an effort to eradicate the IS. ... 13 Tags Daesh airstrikes War on Terror Syrian Observatory for Human Rights Community standardsDiscussion Comment via FacebookComment via Sputnik News,sputnik,10/18/14
1962495704,US Coalition Warplanes Kill Tens of Civilians in Syrias Aleppo,"Thu Oct 6 2016 US Coalition Warplanes Kill Tens of Civilians in Syrias Aleppo. The US-led coalitions fighter jets killed at least 60 civilians in Salsana village in the Northeastern parts of Aleppo. According to the Arabic-language desk of Sputnik news agency the US warplanes targeted the residential areas in the village 50km Northeast of Aleppo city and killed over 60 civilians among them several children. Local sources said that a large number of civilians were also wounded in the attacks some of them in critical conditions. Local sources in Deir Ezzor said on Monday that the US airstrikes had destroyed more bridges and supply routes in the province adding that 50 civilians were killed in the attacks. ""50 civilians including women and children were killed in the US-led coalition airstrikes on Deir Ezzor"" the sources said. Noting that the US airstrikes have pounded 7 bridges in the past four days they said that the bridges on the Euphrates in al-Mayadeen al-Bu Kamal al-Ashara al-Basira al-Tarif and al-Nowam in the Eastern and Western countryside of Deir Ezzor were attacked before the airstrike on al-Abbas bridge on Sunday. Army sources in Syria said on Sunday that the US pounded several strategic bridges in Deir Ezzor in the last few days to prevent the army and its allies further advances in the fight against the ISIL terrorists. ""The US aimed to extend the geographical area of its influence by bombing the strategic bridges in Deir Ezzor and stop the Syrian armys advance in the war against the ISIL"" the source told FNA. ""Washington also sought to cut the supply routes between the provinces and separate Deir Ezzors countryside from the city of Deir Ezzor through the bombing"" the source added. ""Destruction of Deir Ezzor bridges was also aimed at dividing the regions under the US and Russian influence in the Eastern and Western parts of the Euphrates"" the source said. The US-led coalition fighter jets once again conducted air raids over Deir Ezzor province on Friday destroying two other key bridges over the Euphrates River just three days after demolishing two other strategic bridges in similar airstrikes in the same region near the border with Iraq. According to reports the Coalitions airstrikes resulted in the destruction of al-Shihan Bridge near al-Salhin neighborhood in al-Bu Kamal countryside and Tarif Bridge in the Western countryside that extends between Deir Ezzor and Raqqa provinces. The US-led coalition warplanes had also destroyed al-Asharah Bridge that links the two banks of the river in the Eastern part of the Deir Ezzor province last Wednesday only few hours after demolishing al-Mayadeen Bridge. The bombers had also targeted the Syrian army troops near the city of Deir Ezzor on September 17 leaving over 90 military personnel dead and a hundred wounded. Russias Defense Ministry confirmed a report by the Syrian state news agency that an ISIS offensive began right after Syrian Army positions were hit by the bombers of the US-led coalition. The actions of the coalition clearly paved the way for ISIL terrorists to attack the position and take control of it the agency said citing the General Command of the Army and Armed Forces. The General Command called the bombing a serious and blatant aggression against Syrian forces and said it was ""conclusive evidence"" that the US and its allies support ISIL terrorist group. A day later a military source disclosed that the ISIS launched attacks on the Syrian army positions in Deir Ezzor only 7 minutes after the US-led coalitions airstrikes. The military source reiterated that the air and ground assault were highly coordinated. A Syrian top official said the countrys intelligence unit possesses an audio recording of a conversation between the ISIL group and the US military before the airstrikes by the US-led coalition on the Syrian army troops near Deir Ezzor on September 17. The speaker of the Peoples Council of Syria Hadiya Khalaf Abbas said that after the US coalitions airstrikes on the government troops US military directed terrorists attack on the Syrian army FNA reported. 219",alalam,10/6/16
1926479017,Seven killed 37 others injured due to terrorist attacks in Aleppo and Sweida,7 October 2016 Seven killed 37 others injured due to terrorist attacks in Aleppo and Sweida. Six civilians were killed and others were injured due to rocket shells fired by terrorists on al-Midan al-Hamadaniah New Aleppo and al-Muhafaza neighborhoods in Aleppo on Friday. A source at Aleppo Police Command said that terrorists located the citys eastern neighborhoods fired 10 rocket shells on al-Midan neighborhood in the morning and that the attack claimed the lives of two civilians one of them a child and left two other persons injured in addition to causing material damage to public and private properties. The source added later that 6 persons were injured including a young girl when terrorists fired a rocket shell and explosive rounds on al-Hamadaniah area. Later in the evening the source said that four people were killed and 28 were injured due to rocket attacks by terrorists on New Aleppo and al-Muhafaza neighborhoods and that the attack caused significant material damages to citizens homes and properties. Civilian killed other injured in terrorist explosive device blast in Sweida A civilian was killed and his son was injured on Friday in a terrorist explosive device blast in al-Lojat area in the northwest countryside of Sweida. A source at Sweida Police Command told SANA reporter that an explosive device that was planted earlier by terrorists near Sadcob Fuel tanks on al-Haj Road which connects between Arika town and Sweida exploded in a car that was headed for Arika killing the driver and injuring his son. Manar/Manal,sana,10/7/16
1923848121,10 dead after strikes on rebel-held hospitals in Syria,"10 dead after strikes on rebel-held hospitals in Syria Air strikes on two hospitals in rebel-held northwestern Syria on Thursday left 10 people dead including two babies in incubators a monitor said. They were among 19 people killed as a result of strikes across rebel-held Idlib province on Thursday the Syrian Observatory for Human Rights said. An AFP correspondent in the village of Deir Sharqi where one of the hospitals was hit saw extensive damage and wards buried in rubble. It was the third time in less than a week that medical facilities in the province controlled by rebels and Islamist militant groups had been hit in air strikes. ""Apparently Russian aircraft... carried out four successive raids at dawn on a hospital on the outskirts"" of Deir Sharqi it said. ""Six civilians in the emergency department were killed including two babies in incubators after the destruction of the facilitys oxygen generator"" which was keeping them alive Observatory chief Rami Abdel Rahman told AFP. The AFP correspondent saw at least one destroyed incubator rooms and corridors filled with rubble and dusty or damaged beds and equipment. In one room a wall had collapsed on a medicine shelf and in another medical supplies were strewn across the room. Later in the day four medical staff from a dispensary in Maarzita in southern Idlib province were also killed in what were likely Russian strikes the Observatory said. A further nine people including five children were killed in strikes on various other areas of Idlib province on Thursday it said. On Saturday an air raid on another hospital in Idlib had wounded five people the Observatory said but it could not say whether the raid was Syrian or Russian. Another hospital was hit Tuesday in northwestern Idlib putting it out of service Abdel Rahman said. The Britain-based Observatory relies on a network of sources inside Syria and says it determines whose planes carry out raids according to type location flight patterns and munitions used. Idlib is regularly bombed by the air forces of Syria and its Russian ally. More than 320000 people have been killed in Syria since the conflict began in March 2011 with anti-government protests.",ahram,4/27/17
